	WORD	CEFR	CLUE
35	allvar	c1	['a manner that is serious and solemn']
36	allvarlig	b1	['completely lacking in playfulness']
37	altan	b1	['usually paved outdoor area adjoining a residence']
38	altare	c1	['a raised structure on which gifts or sacrifices to a god are made', 'the table in Christian churches where communion is given']
39	alternativ	b1	['one of a number of things from which only one can be chosen']
40	amatör	b2	['someone who pursues a study or sport as a pastime', 'an athlete who does not play for pay']
41	ambassad	a2	['a diplomatic building where ambassadors live or work']
42	ambitiös	c1	['having a strong desire for success or achievement']
43	ambulans	a1	['a vehicle that takes people to and from hospitals']
44	analfabet	b2	['a person unable to read']
45	anda	b2	['the intended meaning of a communication']
46	andas	b1	['draw air into, and expel out of, the lungs']
47	ande	c1	['any incorporeal supernatural being that can become visible (or audible) to human beings']
48	andel	b2	['the allotment of some amount by dividing something', 'a share of the profits']
49	andfådd	b1	['not allowed to continue to bat or run']
50	anfalla	b1	['attack someone physically or emotionally']
51	angelägenhet	c1	['something that interests you because it is important or affects you']
52	anhålla	c1	['take into custody']
53	aning	c1	['an impression that something might be the case']
54	anka	b1	['small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs']
55	anklaga	b2	['make an accusatory claim']
56	anklagelse	c1	['an assertion that someone is guilty of a fault or offence']
57	anknytning	b2	['an additional telephone set that is connected to the same telephone line', 'a social or business relationship']
58	anledning	c1	['any entity that produces an effect or is responsible for events or results', 'an explanation of the cause of some phenomenon']
59	anmärkning	c1	['explicit notice']
60	annan	c1	['not the same one or ones already mentioned or implied; - the White Queen']
61	annonsera	b1	['make publicity for; try to sell (a product)']
62	anonym	c1	['having no known name or identity or known source']
63	anordna	b1	['create (as an entity)']
64	anpassa	c1	['adapt or conform oneself to new or different conditions']
65	anseende	b2	"[""a person's reputation"", 'notoriety for some particular characteristic']"
66	ansikte	c1	['the front of the human head from the forehead to the chin and ear to ear']
67	anslag	b2	"['an announcement containing information about an event; ; ; ""a notice of sale', 'any monetary aid', 'an amount allowed or granted (as during a given period)']"
68	anspråk	b2	['demand for something as rightful or due']
69	ansträngning	b2	['earnest and conscientious activity intended to do or accomplish something']
70	anställa	b2	['engage or hire for work']
71	ansvar	c1	['the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr', 'the state of being legally obliged and responsible']
72	ansökan	c1	['a verbal or written request for assistance or employment or admission to a school']
73	anta	c1	"['to believe especially on uncertain or tentative grounds', ""take up and practice as one's own"", 'allow to enter; grant entry to']"
74	antal	c1	['the property possessed by a sum or total or indefinite quantity of units or individuals']
75	anteckning	c1	['a short personal letter']
76	använda	c1	['avail oneself to']
77	användare	c1	['a person who makes use of a thing; someone who uses or employs something']
78	användning	c1	['what something is used for']
79	apa	b1	['any of various long-tailed primates (excluding the prosimians)']
80	apelsin	a1	['orange color or pigment; any of a range of colors between red and yellow', 'round yellow to orange fruit of any of several citrus trees']
81	apostel	c1	['an ardent early supporter of a cause or reform']
82	apparat	b2	['equipment designed to serve a specific function']
83	applåd	b1	['a round of applause to signify approval']
84	applådera	c1	"[""clap one's hands or shout after performances to indicate approval""]"
85	aptit	b1	['a feeling of craving something; ; - Granville Hicks']
86	arbeta	a1	['be employed']
87	arbetare	a2	['a person who works at a specific occupation', 'a hired laborer on a farm or ranch', 'someone who works with their hands; someone engaged in manual labor', 'an employee who performs manual or industrial labor']
88	arbetarklass	c1	['a social class comprising those who do manual labor or work for wages']
89	arbete	b2	['the total output of a writer or artist (or a substantial part of it)', 'the state of being employed or having a job']
90	arbetsförmedling	c1	['a government office in a town where information about available jobs is displayed and where unemployment benefits are administered']
91	arbetsgivare	c1	['a person or firm that employs workers']
92	arbetskraft	b2	['productive work (especially physical work done for wages)']
93	arbetslös	a2	['not engaged in a gainful occupation']
94	arbetslöshet	b2	['the state of being unemployed or not having a job']
95	arbetsplats	b2	['a workplace; as in the expression', 'a place where work is done']
96	arbetsrum	c1	['a room used for reading and writing and studying']
97	arena	b2	['the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand']
98	arg	b1	['feeling or showing anger']
99	argumentation	c1	['a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning', 'a discussion in which reasons are advanced for and against some proposition or proposal']
100	arkeolog	b1	['an anthropologist who studies prehistoric people and their culture']
101	arkeologisk	b1	['related to or dealing with or devoted to archaeology']
102	arkitekt	c1	['someone who creates plans to be used in making something (such as buildings)']
103	arkitektur	b1	['the discipline dealing with the principles of design and construction and ornamentation of fine buildings']
104	arkiv	b2	['a depository containing historical records and documents', 'office furniture consisting of a container for keeping papers in order', 'collection of records especially about an institution']
105	arm	b2	['a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb']
106	armbåge	c1	['hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped']
107	armhåla	b1	['the hollow under the arm where it is joined to the shoulder']
108	armod	b2	['a state without friends or money or prospects']
109	armé	b1	['a permanent organization of the military land forces of a nation or state']
110	arrangemang	b2	['the spatial property of the way in which something is placed']
111	arrangera	b1	['arrange thoughts, ideas, temporal events']
112	arrest	c1	['holding by the police', 'a state of being confined (usually for a short time)']
113	art	c1	['(biology) taxonomic group whose members can interbreed']
114	artig	c1	['showing regard for others in manners, speech, behavior, etc.']
115	artikel	c1	['nonfictional prose forming an independent part of a publication']
116	artist	b1	['a public performer (a dancer or singer)', 'an entertainer who performs a dramatic or musical work for an audience']
117	aska	c1	['the residue that remains when something is burned']
118	aspekt	c1	['a distinct feature or element in a problem']
119	association	a2	['the process of bringing ideas or events together in memory or imagination']
120	astma	a2	['respiratory disorder characterized by wheezing; usually of allergic origin']
121	astronomi	b1	['the branch of physics that studies celestial bodies and the universe as a whole']
122	ateist	b2	['someone who denies the existence of god']
123	atmosfär	c1	['the envelope of gases surrounding any celestial body']
124	attack	b1	['(military) an offensive against an enemy (using weapons)']
125	auktion	a1	['the public sale of something to the highest bidder', 'a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge']
126	auktoritet	c1	['an expert whose views are taken as definitive', '(usually plural) persons who exercise (administrative) control over others']
127	autentisk	c1	['not fake or counterfeit']
128	automatisk	c1	['operating with minimal human intervention; independent of external control']
129	avbrott	b2	['a time interval during which there is a temporary cessation of something']
130	avbryta	b2	"[""interfere in someone else's activity""]"
131	avböja	c1	['refuse to accept']
132	avbön	c1	['an expression of regret at having caused trouble for someone']
133	avdelning	c1	['an administrative unit in government or business']
134	aveny	a2	['a wide street or thoroughfare']
135	avfall	b2	['any materials unused and rejected as worthless or unwanted', 'worthless material that is to be disposed of']
136	avfyra	c1	['cause to go off']
137	avfärda	c1	['bar from attention or consideration']
138	avgift	b2	['request for payment of a debt', 'the sum charged for riding in a public conveyance', 'a fixed charge for a privilege or for professional services']
139	avgrund	b2	"[""a deep opening in the earth's surface""]"
140	avgång	b2	['withdrawal from your position or occupation', 'a retraction of a previously held position']
141	avgöra	c1	['influence or determine', 'end a legal dispute by arriving at a settlement']
142	avhandling	c1	['a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree']
143	avkoppling	b1	['a feeling of refreshing tranquility and an absence of tension or worry']
144	avlägsen	c1	['located at a great distance in time or space or degree', 'separated in space or coming from or going to a distance']
145	avrätta	b1	['kill as a means of socially sanctioned punishment']
146	avsevärd	c1	['large or relatively large in number or amount or extent or degree']
147	avsikt	c1	['an act of intending; a volition that you intend to carry out', 'an anticipated outcome that is intended or that guides your planned actions']
148	avsiktlig	c1	['done or made or performed with purpose and intent; - Havelock Ellis']
149	avskaffa	c1	['do away with']
150	avsked	b2	['the act of departing politely', 'official notice that you have been fired from your job']
151	avsky	b2	['find repugnant']
152	avslag	c1	['the act of rejecting something']
153	avsluta	b2	['finish or terminate (meetings, speeches, etc.)']
154	avslutning	b2	['the last section of a communication', 'event whose occurrence ends something']
155	avslöja	b1	['expose while ridiculing; especially of pretentious or false claims and ideas', 'make known to the public information that was previously known only to a few people or that was meant to be kept a secret']
156	avsnitt	b2	['a part of a broadcast serial']
157	avspänd	c1	['without strain or anxiety']
158	avstå	b2	['turn away from; give up']
159	avstånd	b2	['the property created by the space between two objects or points']
160	avundsjuk	c1	"[""showing extreme cupidity; painfully desirous of another's advantages""]"
161	avundsjuka	b1	['a feeling of grudging admiration and desire to have something that is possessed by another']
162	avvika	c1	['lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking', 'wander from a direct or straight course', 'be different']
163	avvikelse	b2	['a turning aside (of your course or attention or concern)']
164	axel	c1	['the center around which something rotates', 'the part of the body between the neck and the upper arm']
165	baby	a2	['a very young child (birth to 1 year) who has not yet begun to walk or talk']
166	back	b2	['turning in the opposite direction']
167	backa	b1	['turn inside out or upside down']
168	bacon	b1	['back and sides of a hog salted and dried or smoked; usually sliced thin and fried']
169	badkar	a2	['a relatively large open container that you fill with water and use to wash the body']
170	badrum	a2	['a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet']
171	bageri	c1	['a workplace where baked goods (breads and cakes and pastries) are produced or sold']
172	baka	b1	['prepare with dry heat in an oven']
173	bakgrund	c1	"[""a person's social heritage: previous experience or training"", 'the part of a scene (or picture) that lies behind objects in the foreground', 'the state of the environment in which a situation exists']"
174	baksida	b2	['the side that goes last or is not normally seen']
175	bakterie	a2	['(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants']
176	bal	b2	['the people assembled at a lavish formal dance']
177	balans	c1	['harmonious arrangement or relation of parts or elements within a whole (as in a design); - John Ruskin']
178	balett	c1	['a theatrical representation of a story that is performed to music by trained dancers', 'music written for a ballet']
179	balkong	a2	['a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet']
180	ballong	b1	['large tough nonrigid bag filled with gas or heated air', 'small thin inflatable rubber bag with narrow neck']
181	bana	b2	['a course over which races are run', 'a line or route along which something travels or moves']
182	banan	b1	['elongated crescent-shaped yellow fruit with soft sweet flesh', 'any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits']
183	band	c1	['an adornment consisting of a strip of a contrasting color or material', 'notion consisting of a narrow strip of fine material used for trimming', 'a band that goes over the shoulder and supports a garment or bag', 'instrumentalists not including string players']
184	bank	a1	['a financial institution that accepts deposits and channels the money into lending activities', 'sloping land (especially the slope beside a body of water)']
185	banka	b1	['move rhythmically']
186	bannlysa	b1	['expel from a community or group']
187	bar	c1	['lacking its natural or customary covering', 'a room or establishment where alcoholic drinks are served over a counter']
188	bark	c1	['tough protective covering of the woody stems and roots of trees and other woody plants']
189	barn	c1	['a human offspring (son or daughter) of any age']
190	barnbarn	a1	['a child of your son or daughter']
191	barndom	c1	"['the state of a child between infancy and adolescence', ""the time of person's life when they are a child""]"
192	barnflicka	b2	['a woman who is the custodian of children']
193	barnmorska	a2	['a woman skilled in aiding the delivery of babies']
194	barnslig	b2	['indicating a lack of maturity']
195	barnvagn	a2	['a small vehicle with four wheels in which a baby or child is pushed around']
196	barnvakt	b1	['a person engaged to care for children when the parents are not home']
197	bas	a2	['the bottom side of a geometric figure from which the altitude can be constructed']
198	basker	b1	['a cap with no brim or bill; made of soft cloth']
199	bastu	a2	['a Finnish steam bath; steam is produced by pouring water over heated rocks']
200	batong	c1	['a short stout club used primarily by policemen']
201	batteri	b2	['a device that produces electricity; may have several primary or secondary cells arranged in parallel or series']
202	be	b1	['express the need or desire for; ask for', 'call upon in supplication; entreat', 'address a deity, a prophet, a saint or an object of worship; say a prayer']
203	bedra	c1	['cause someone to believe an untruth']
204	bedömning	c1	['the act of judging or assessing a person or situation or event', 'the classification of someone or something with respect to its worth']
205	bedövning	a2	['a state lacking normal awareness of the self or environment']
206	befalla	b2	['make someone do something']
207	befolkning	b2	['the people who inhabit a territory or state']
208	befruktning	c1	['the act of becoming pregnant; fertilization of an ovum by a spermatozoon']
209	befrämja	c1	['help develop, help grow']
210	begagna	b1	['make a profit; gain money or materially', 'derive a benefit from']
211	begrava	b1	['place in the earth and cover with soil', 'place in a grave or tomb']
212	begravning	c1	['a ceremony at which a dead person is buried or cremated', 'the ritual placing of a corpse in a grave']
213	begrepp	c1	['an abstract or general idea inferred or derived from specific instances', 'a general inclusive concept']
214	begripa	c1	['know and comprehend the nature or meaning of']
215	begränsa	c1	['place limits on (extent or access)']
216	begränsning	b2	['the quality of being limited or restricted', 'a principle that limits the extent of something', 'the line or plane indicating the limit or extent of something', 'the state of being physically constrained']
217	begär	b2	['the feeling that accompanies an unsatisfied state']
218	behandla	c1	['provide treatment for', 'act on verbally or in some form of artistic expression', 'interact in a certain way']
219	behandling	b1	['the management of someone or something']
220	behov	c1	['a condition requiring relief']
221	behålla	c1	['retain possession of']
222	behöva	b1	['have need of']
223	bekant	c1	['apprehended with certainty', 'a relationship less intimate than friendship']
224	bekantskap	c1	['personal knowledge or information about someone or something']
225	bekväm	c1	"[""providing or experiencing physical well-being or relief (`comfy' is informal)"", 'suited to your comfort or purpose or needs']"
226	bekvämlighet	b2	['a device or control that is very useful for a particular job', 'a state of being relaxed and feeling no pain']
227	bekymmer	b2	['an anxious feeling']
228	bekämpa	b2	['battle or contend against in or as if in a battle']
229	belastning	b1	['(psychology) a state of mental or emotional strain or suspense']
230	belopp	c1	['an amount of money expressed numerically']
231	belysa	c1	['make lighter or brighter']
232	belägg	c1	['your basis for belief or disbelief; knowledge on which to base belief']
233	belöna	c1	"['make payment to; compensate', ""act or give recompense in recognition of someone's behavior or actions""]"
234	belöning	b1	['the offer of money for helping to find a criminal or for returning lost property', 'something given for victory or superiority in a contest or competition or for winning a lottery']
235	bemästra	c1	['be or become completely proficient or skilled in']
236	ben	b2	['one of the supports for a piece of furniture', 'rigid connective tissue that makes up the skeleton of vertebrates', 'the limb of an animal used for food']
237	bensin	b2	['a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines']
238	benämna	c1	['name formally or designate with a term']
239	beredskap	b2	['the state of having been made ready or prepared for use or action (especially military action)']
240	berg	b2	['a land mass that projects well above its surroundings; higher than a hill']
241	bero	c1	['be contingent upon (something that is elided)']
242	beroende	b1	['compulsively or physiologically dependent on something habit-forming', 'being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)']
243	berätta	b1	['narrate or give a detailed account of']
244	berättelse	b1	['a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program']
245	beröm	b2	['an expression of approval and commendation']
246	beröra	b2	['arouse sympathy or compassion in']
247	beröring	c1	['the faculty by which external objects or forces are perceived through contact with the body (especially the hands)']
248	beröva	c1	['keep from having, keeping, or obtaining']
249	besegra	b2	['come out better in a competition, race, or conflict', 'be superior']
250	beskriva	b2	['give a description of']
251	beslut	c1	['a decision to do something or to behave in a certain manner']
252	besläktad	b2	['connected by kinship, common origin, or marriage', 'being connected either logically or causally or by shared characteristics']
253	beställning	c1	['a request for something to be made, supplied, or served']
254	bestämd	c1	['precise; explicit and clearly defined', 'clearly and explicitly stated']
255	bestämmelse	c1	['the activity of supplying or providing something', 'an authoritative rule']
256	bestå	c1	['persist for a specified period of time']
257	besvikelse	c1	['an act (or failure to act) that disappoints someone', 'a feeling of dissatisfaction that results when your expectations are not realized']
258	besvär	a2	['an effort that is inconvenient']
259	besättning	b2	['the men and women who man a vehicle (ship, aircraft, etc.)']
260	besök	a1	['a brief social visit', 'the act of going to see some person or place or thing for a short time']
261	besöka	b1	['go to certain places as for sightseeing']
262	besökare	c1	['someone who visits']
263	beta	b2	['let feed in a field or pasture or meadow']
264	betala	a2	['give money, usually in exchange for goods or services']
265	betalning	c1	['the act of paying money']
266	beteende	c1	['manner of acting or controlling yourself']
267	betjäna	b2	['work for or be a servant to']
268	betona	c1	['to stress, single out as important']
269	betong	b2	['a strong hard building material composed of sand and gravel and cement and water']
270	betyda	b2	['denote or connote']
271	betydelse	c1	['the meaning of a word or expression; the way in which a word or expression or situation can be interpreted']
272	betyg	b2	"[""a number or letter indicating quality (especially of a student's performance)""]"
273	beundra	a2	['feel admiration for', 'look at with admiration']
274	bevakning	b2	['the news as presented by reporters for newspapers or radio or television']
275	bevara	c1	['prevent (food) from rotting']
276	bevingad	c1	['having wings or as if having wings of a specified kind']
277	bevis	c1	['any factual evidence that helps to establish the truth of something', 'a formal series of statements showing that if one thing is true something else necessarily follows from it']
278	bevisa	b1	['establish the validity of something, as by an example, explanation or experiment']
279	bi	b2	['any of numerous hairy-bodied insects including social and solitary species', 'a social gathering to carry out some communal task or to hold competitions']
280	bibel	c1	['a book regarded as authoritative in its field', 'the sacred writings of the Christian religions']
281	bibliotek	b2	['a building that houses a collection of books and other materials']
282	bibliotekarie	b2	['a professional person trained in library science and engaged in library services']
283	bidrag	b2	['something that aids or promotes well-being', 'something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)']
284	biff	a1	['meat from an adult domestic bovine']
285	bikini	c1	"[""a woman's very brief bathing suit""]"
286	bil	a2	['a motor vehicle with four wheels; usually propelled by an internal combustion engine']
287	bilaga	c1	['a supplementary part or accessory']
288	bild	b1	['a visual representation (of an object or scene or person or abstraction) produced on a surface', 'an iconic mental representation']
289	bildspråk	c1	['the ability to form mental images of things or events']
290	bilism	c1	['the act of driving an automobile']
291	bilist	c1	['someone who drives (or travels in) an automobile']
292	biljett	a1	['a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)']
293	billig	a2	['relatively low in price or charging low prices']
294	binda	b2	['make fast; tie or secure, with or as if with a rope', 'stick to firmly', 'create social or emotional ties']
295	bindestreck	c1	['a punctuation mark (-) used between parts of a compound word or between the syllables of a word when the word is divided at the end of a line of text']
296	biograf	b1	['a theater where films are shown', 'a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement']
297	biografi	b1	"[""an account of the series of events making up a person's life""]"
298	biolog	b1	['(biology) a scientist who studies living organisms']
299	biologi	c1	['all the plant and animal life of a particular region']
300	biskop	c1	['a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ']
301	bistånd	b2	['money to support a worthy person or cause']
302	bit	a2	['a separate part of a whole', 'a small piece of something that is left over after the rest has been used']
303	bita	b1	['to grip, cut off, or tear with or as if with the teeth or jaws']
304	bitter	c1	['marked by strong resentment or cynicism', 'causing a sharp and acrid taste experience']
305	bjuda	a2	['propose a payment']
306	björn	b1	['massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws', 'an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price']
307	blad	b2	['the flat part of a tool or weapon that (usually) has a cutting edge', 'paper used for writing or printing', 'especially a leaf of grass or the broad portion of a leaf as distinct from the petiole']
308	blanda	c1	['mix together different elements', 'mix so as to make a random order or arrangement']
309	blandning	b2	['an event that combines things in a mixture']
310	blankett	a2	['a printed document with spaces in which to write']
311	bli	b1	['undergo a change or development']
312	blick	c1	['a long fixed look']
313	blind	c1	['unable to see; --Kenneth Jernigan']
314	blinka	b2	['gleam or glow intermittently']
315	blixt	b2	['a lamp for providing momentary light to take a photograph', 'a small portable battery-powered electric lamp', 'a burst of light used to communicate or illuminate', 'a discharge of lightning accompanied by thunder']
316	block	b1	['a book with blank pages for recording notes or memoranda', 'a three-dimensional shape with six square or rectangular sides']
317	blod	b1	['the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets']
318	blodbad	c1	['indiscriminate slaughter']
319	blodhund	c1	['a breed of large powerful hound of European origin having very acute smell and used in tracking']
320	blodig	c1	['having or covered with or accompanied by blood']
321	blomma	a1	['produce or yield flowers', 'a plant cultivated for its blooms or blossoms']
322	blommig	a2	['of or relating to or suggestive of flowers']
323	blomstra	c1	"[""make steady progress; be at the high point in one's career or reach a high point in historical significance or importance""]"
324	blond	a2	['being or having light colored skin and hair and usually blue or grey eyes']
325	blus	a2	['a top worn by women']
326	bly	b1	['a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey']
327	blyerts	b2	['used as a lubricant and as a moderator in nuclear reactors']
328	blänga	c1	"[""look angry or sullen, wrinkle one's forehead, as if to signal disapproval"", 'look at with a fixed gaze']"
329	blöda	a2	"[""lose blood from one's body""]"
330	blöja	b1	['garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement']
331	blöta	b2	['submerge in a liquid']
332	bo	a2	['a structure in which animals lay eggs or give birth to their young']
333	boende	c1	['structures collectively in which people are housed']
334	bok	b2	['physical objects consisting of a number of pages bound together', 'a written work or composition that has been published (printed on pages bound together)']
335	boka	c1	['obtain or arrange (for oneself) in advance', 'arrange for and reserve (something for someone else) in advance']
336	bokhandel	b2	['a shop where books are sold']
337	bokhylla	a2	['a piece of furniture with shelves for storing books']
338	bokstav	b2	['a written symbol that is used to represent speech', 'the conventional characters of the alphabet used to represent speech']
339	boll	b2	['round object that is hit or thrown or kicked in games']
340	bom	b2	['a horizontal rod that serves as a support for gymnasts as they perform exercises']
341	bomb	b2	['an explosive device fused to explode under specific conditions']
342	bombplan	c1	['a military aircraft that drops bombs during flight']
343	bonde	c1	['a person who operates a farm', 'one of a (chiefly European) class of agricultural laborers']
344	bord	a2	['a piece of furniture with tableware for a meal laid out on it']
345	borgerlig	b1	['occupying a socioeconomic position intermediate between those of the lower classes and the wealthy']
346	borgmästare	b2	['the head of a city government']
347	borsta	a2	['rub with a brush, or as if with a brush']
348	bortrest	b1	"[""used of an opponent's ground""]"
349	bosatt	c1	['living in a particular place', 'pertaining to living persons']
350	bota	b2	['provide a cure for, make healthy again']
351	botemedel	c1	['a medicine or therapy that cures disease or relieve pain']
352	botten	b1	['the lower side of anything']
353	bra	a2	['tending to promote physical well-being; beneficial to health']
354	brant	b2	['having a sharp inclination']
355	bre	a2	['distribute over a surface in a layer']
356	bredd	b1	['the extent of something from side to side']
357	bredda	b1	['make wider']
358	brev	a1	['a written message addressed to a person or organization']
359	brevväxla	b1	['exchange messages']
360	bringa	c1	['a cut of meat from the breast or lower chest especially of beef']
361	brinna	b2	['cause to burn or combust']
362	bris	b2	['a slight wind (usually refreshing)']
363	brist	b2	['lack of an adequate quantity or number', 'a small and inadequate amount', 'the state of needing something that is absent or unavailable']
364	brista	c1	['break open or apart suddenly and forcefully', 'break suddenly and abruptly, as under tension']
365	bro	b1	['a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.']
366	broder	c1	['(Roman Catholic Church) a title given to a monk and used as form of address']
367	broms	a2	['a restraint used to slow or stop a vehicle']
368	bror	a1	['a male with the same parents as someone else']
369	brosch	a2	['a decorative pin worn by women']
370	broschyr	a1	['a brief treatise on a subject of interest; published in the form of a booklet', 'a small book usually having a paper cover']
371	brott	b1	['(criminal law) an act punishable by law; usually considered an evil act', 'breaking of hard tissue such as bone']
372	brottas	b2	['engage in a wrestling match']
373	brottslighet	b1	['the state of being a criminal']
374	brottsling	b1	['someone who has committed a crime or has been legally convicted of a crime']
375	brud	b2	['a woman participant in her own marriage ceremony']
376	bruka	b2	['adapt (a wild plant or unclaimed land) to the environment']
377	brun	a2	['of a color similar to that of wood or earth']
378	brunn	b2	['a deep hole or shaft dug or drilled to obtain water or oil or gas or brine']
379	bryggare	b1	['a coffeepot in which boiling water ascends through a central tube and filters back down through a basket of ground coffee beans']
380	bräda	b2	['a stout length of sawn timber; made in a wide variety of sizes and used for many purposes']
381	brännvin	b2	['Scandinavian liquor usually flavored with caraway seeds']
382	bränsle	b2	['a substance that can be consumed to produce energy']
383	brådska	b2	['an urgent situation calling for prompt action']
384	bråkdel	b1	['the quotient of two rational numbers']
385	bröd	a2	['food made from dough of flour or meal and usually raised with yeast or baking powder and then baked']
386	bröllop	c1	['the social event at which the ceremony of marriage is performed']
387	bröst	b2	['the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates', 'either of two soft fleshy milk-secreting glandular organs on the chest of a woman']
388	bubbla	c1	['a hollow globule of gas (e.g., air or carbon dioxide)']
389	bud	c1	['a formal public statement']
390	budget	b2	['a summary of intended expenditures along with proposals for how to meet them', 'a sum of money allocated for a particular purpose']
391	buffé	a2	['a meal set out on a buffet at which guests help themselves']
392	buga	a2	['bend the head or the upper part of the body in a gesture of respect or greeting']
393	bukta	b1	['swell out or bulge out']
394	bulle	a1	['small rounded bread either plain or sweet']
395	bullrig	b2	['full of or characterized by loud and nonmusical sounds']
396	bur	b1	['an enclosure made or wire or metal bars in which birds or animals can be kept']
397	burk	c1	['a vessel (usually cylindrical) with a wide mouth and without handles']
398	buske	c1	['a low woody perennial plant usually having several major stems']
399	buss	b1	['a vehicle carrying many passengers; used for public transport']
400	butik	b2	['a mercantile establishment for the retail sale of goods or services']
401	by	c1	['a community of people smaller than a town']
402	bybo	c1	['one who has lived in a village most of their life']
403	bygga	b1	"['put together out of artificial or natural components or parts; ; ; He manufactured a popular cereal""', 'construct, build, or erect']"
404	byggnad	c1	['a structure that has a roof and walls and stands more or less permanently in one place']
405	byta	a2	['lay aside, abandon, or leave for another']
